,date,ninsee,no2,o3,pm10
405400,07/11/2017,91377,44,14,53
405424,07/11/2017,91471,36,20,44
405426,07/11/2017,91477,40,17,49
405491,07/11/2017,92002,45,12,53
405496,07/11/2017,92014,46,10,52
405528,07/11/2017,93005,51,19,76
405530,07/11/2017,93007,51,18,76
405533,07/11/2017,93013,52,17,74
405536,07/11/2017,93027,54,18,74
405537,07/11/2017,93029,53,16,74
405558,07/11/2017,93066,57,18,74
405565,07/11/2017,93078,53,22,77
405569,07/11/2017,94003,46,9,53
405582,07/11/2017,94037,46,9,54
405758,07/11/2017,95527,47,22,76
405810,08/11/2017,75103,42,15,67
405812,08/11/2017,75105,43,17,67
405817,08/11/2017,75110,44,14,65
405821,08/11/2017,75114,43,16,65
406567,08/11/2017,78575,27,18,49
406641,08/11/2017,91122,30,18,53
406683,08/11/2017,91272,30,18,53
406709,08/11/2017,91377,39,15,63
406733,08/11/2017,91471,32,17,55
406735,08/11/2017,91477,36,16,59
406800,08/11/2017,92002,40,15,65
406805,08/11/2017,92014,41,15,67
406837,08/11/2017,93005,37,9,68
406839,08/11/2017,93007,40,8,68
406842,08/11/2017,93013,44,8,68
406845,08/11/2017,93027,48,9,69
406846,08/11/2017,93029,45,8,68
406867,08/11/2017,93066,48,10,70
406874,08/11/2017,93078,33,9,67
406878,08/11/2017,94003,43,15,67
406891,08/11/2017,94037,44,15,68
407067,08/11/2017,95527,31,12,68
407119,09/11/2017,75103,34,13,49
407121,09/11/2017,75105,36,13,47
407126,09/11/2017,75110,34,13,50
407130,09/11/2017,75114,38,15,45
407876,09/11/2017,78575,29,23,30
407950,09/11/2017,91122,32,22,32
407992,09/11/2017,91272,32,23,30
408018,09/11/2017,91377,38,20,40
408042,09/11/2017,91471,34,22,34
408044,09/11/2017,91477,36,21,35
408109,09/11/2017,92002,40,18,42
408114,09/11/2017,92014,40,16,40
408146,09/11/2017,93005,40,14,54
408148,09/11/2017,93007,39,14,52
408151,09/11/2017,93013,37,14,47
408154,09/11/2017,93027,37,15,47
408155,09/11/2017,93029,38,13,50
408176,09/11/2017,93066,36,17,49
408183,09/11/2017,93078,39,14,57
408187,09/11/2017,94003,39,15,44
408200,09/11/2017,94037,39,14,45
408376,09/11/2017,95527,37,18,55
408428,10/11/2017,75103,31,17,25
408430,10/11/2017,75105,30,17,24
408435,10/11/2017,75110,32,17,25
408439,10/11/2017,75114,29,19,24
409185,10/11/2017,78575,16,25,19
409259,10/11/2017,91122,18,25,19
409301,10/11/2017,91272,18,25,19
409327,10/11/2017,91377,23,23,20
409351,10/11/2017,91471,19,25,19
409353,10/11/2017,91477,21,24,20
409418,10/11/2017,92002,23,22,20
409423,10/11/2017,92014,23,20,20
409455,10/11/2017,93005,27,20,24
409457,10/11/2017,93007,25,20,24
409460,10/11/2017,93013,25,20,22
409463,10/11/2017,93027,27,21,22
409464,10/11/2017,93029,25,20,22
409485,10/11/2017,93066,30,21,24
409492,10/11/2017,93078,31,19,25
409496,10/11/2017,94003,25,19,22
409509,10/11/2017,94037,25,18,24
409685,10/11/2017,95527,26,22,24
409737,11/11/2017,75103,23,21,15
409739,11/11/2017,75105,22,21,14
409744,11/11/2017,75110,24,20,15
409748,11/11/2017,75114,19,22,12
410494,11/11/2017,78575,4,26,9
410568,11/11/2017,91122,5,25,7
410610,11/11/2017,91272,4,26,9
410636,11/11/2017,91377,9,25,9
410660,11/11/2017,91471,5,25,9
410662,11/11/2017,91477,6,25,9
410727,11/11/2017,92002,11,24,10
410732,11/11/2017,92014,12,23,10
410764,11/11/2017,93005,18,21,15
410766,11/11/2017,93007,17,21,14
410769,11/11/2017,93013,17,21,14
410772,11/11/2017,93027,20,21,14
410773,11/11/2017,93029,18,21,14
410794,11/11/2017,93066,23,22,14
410801,11/11/2017,93078,18,20,15
410805,11/11/2017,94003,15,22,12
410818,11/11/2017,94037,16,22,12
410994,11/11/2017,95527,15,21,14
411046,12/11/2017,75103,28,28,10
411048,12/11/2017,75105,28,28,9
411053,12/11/2017,75110,27,26,10
411057,12/11/2017,75114,25,28,9
411803,12/11/2017,78575,5,32,7
411877,12/11/2017,91122,5,33,5
411919,12/11/2017,91272,5,32,7
411945,12/11/2017,91377,11,32,9
411969,12/11/2017,91471,5,33,5
411971,12/11/2017,91477,9,32,7
412036,12/11/2017,92002,14,32,9
412041,12/11/2017,92014,15,30,9
412073,12/11/2017,93005,19,29,12
412075,12/11/2017,93007,19,28,10
412078,12/11/2017,93013,20,28,10
412081,12/11/2017,93027,22,27,10
412082,12/11/2017,93029,20,28,10
412103,12/11/2017,93066,25,27,10
412110,12/11/2017,93078,20,28,12
412114,12/11/2017,94003,20,28,10
412127,12/11/2017,94037,23,28,10
412303,12/11/2017,95527,19,29,12
412355,13/11/2017,75103,27,22,25
412357,13/11/2017,75105,26,22,25
412362,13/11/2017,75110,31,21,27
412366,13/11/2017,75114,28,21,25
413112,13/11/2017,78575,20,26,25
413186,13/11/2017,91122,22,25,25
413228,13/11/2017,91272,22,26,25
413254,13/11/2017,91377,26,23,27
413278,13/11/2017,91471,23,25,25
413280,13/11/2017,91477,25,24,27
413345,13/11/2017,92002,26,23,27
413350,13/11/2017,92014,26,22,27
413382,13/11/2017,93005,24,23,24
413384,13/11/2017,93007,25,23,24
413387,13/11/2017,93013,28,22,24
413390,13/11/2017,93027,31,22,25
413391,13/11/2017,93029,28,22,24
413412,13/11/2017,93066,35,21,29
413419,13/11/2017,93078,22,22,24
413423,13/11/2017,94003,27,21,27
413436,13/11/2017,94037,27,21,25
413612,13/11/2017,95527,20,23,24
413664,14/11/2017,75103,41,13,39
413666,14/11/2017,75105,41,14,37
413671,14/11/2017,75110,44,13,39
413675,14/11/2017,75114,40,15,37
414421,14/11/2017,78575,28,23,25
414495,14/11/2017,91122,30,23,27
414537,14/11/2017,91272,31,23,27
414563,14/11/2017,91377,38,20,34
414587,14/11/2017,91471,32,22,29
414589,14/11/2017,91477,36,21,30
414654,14/11/2017,92002,40,19,35
414659,14/11/2017,92014,42,16,37
414691,14/11/2017,93005,44,13,53
414693,14/11/2017,93007,45,13,53
414696,14/11/2017,93013,44,13,50
414699,14/11/2017,93027,45,13,49
414700,14/11/2017,93029,48,12,53
414721,14/11/2017,93066,45,14,45
414728,14/11/2017,93078,39,13,50
414732,14/11/2017,94003,42,15,39
